problem,epoch_progress_percent,rows,spearman_rho,descriptive_p_value
misr,1,27,0.42105779070342364,0.02872897279795973
misr,5,27,0.5946279122916176,0.0010715223773350984
misr,10,27,0.7312602323448384,1.471142202737276e-05
misr,25,27,0.8339008052864129,6.569098071859194e-08
misr,50,27,0.882454071393884,1.1484736296844578e-09
misr,75,27,0.9964282562979968,2.31335204075357e-28
unit_square,1,27,0.8841968717929876,9.6221966033786e-10
unit_square,5,27,0.8573204111490141,1.1232139115857963e-08
unit_square,10,27,0.8927968069121373,3.8482432860336403e-10
unit_square,25,27,0.9163572730638184,1.9717400675462708e-11
unit_square,50,27,0.9595485796744878,2.843211375677067e-15
unit_square,75,27,0.9854403264421928,9.270993612930937e-21
guillotine,1,24,0.36608067407617356,0.07851946166610262
guillotine,5,27,0.700345025423147,4.7573525077703465e-05
guillotine,10,27,0.8334275163622576,6.788491537042924e-08
guillotine,25,27,0.9414659765498102,2.6122238084858626e-13
guillotine,50,27,0.951925184398208,2.3612072367037434e-14
guillotine,75,27,0.9780194604982466,1.5343123901179581e-18
