run_id,stage,problem,representation,local_search,surrogate,control_mode,rng_seed,budget_seconds,iterations,completed_iterations,stop_reason,best_exact_score,time_to_best,best_certificate_path,best_rendering_path,best_certificate_hash,num_exact_calls,num_exact_timeouts,num_invalid_samples,num_repaired_samples,num_duplicates,num_model_train_calls,num_model_samples,num_model_samples_valid,fallback_floor_attempts,fallback_floor_used,effective_train_every,effective_model_samples,effective_local_search,num_exports,event_stream,checkpoint_path,checkpoint_every,resumed_from_checkpoint,elapsed_seconds,return_code,summary_path
guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,packing_resize,depth_limited_dp,patternboost,3952110599500357674,86400,1000000,7875,budget_exhausted,0.2727272727272727,6906.221645899117,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/certificates/best_iter000830_95b666a6f2ce.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/renderings/best_iter000830_95b666a6f2ce.svg,95b666a6f2ce7123dcbd8d81a90bc8a3cc1c8b1c477bd98e624be8783f6a8ab5,9450,0,0,15367,61850,1097,17552,17523,0,False,7,16,packing_resize,5,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/checkpoint.json,1,False,86412.66640076041,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/depth_limited_dp/summary.json
guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,packing_resize,first_cut_obstruction,patternboost,6781771531009077461,86400,1000000,8095,budget_exhausted,0.25,64475.45556961745,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/certificates/best_iter006535_e3a079bb3ea1.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/renderings/best_iter006535_e3a079bb3ea1.svg,e3a079bb3ea1444f27b2dd5eb2854f90d76f124a736f99953384ad4c35a563d5,9714,0,0,17492,46358,1042,16672,16487,0,False,7,16,packing_resize,5,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/checkpoint.json,1,False,86412.31557169557,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/first_cut_obstruction/summary.json
guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,packing_resize,k_subset_nonseparability,patternboost,5425224135453246733,86400,1000000,997,budget_exhausted,0.23529411764705882,60186.65941210836,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/certificates/best_iter000715_6609d52925e3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/renderings/best_iter000715_6609d52925e3.svg,6609d52925e3d3481b82b3f9c0f47d93ee8ff91909e304942796d8c18e303e11,1200,0,0,1995,6483,142,2272,1961,0,False,7,16,packing_resize,8,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/checkpoint.json,1,False,86436.99501374364,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/packing_resize/k_subset_nonseparability/summary.json
guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,recursive_gadget_assembly,depth_limited_dp,patternboost,5859900153306678264,86400,1000000,6313,budget_exhausted,0.18181818181818182,14757.837532363832,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/certificates/best_iter001420_ba420107ce52.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/renderings/best_iter001420_ba420107ce52.svg,ba420107ce5238445bf013de1a327b7ce7d5af87ad42489a86660632eecb81ed,7578,0,0,12543,51214,749,11984,11877,0,False,7,16,recursive_gadget_assembly,3,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/checkpoint.json,1,False,86417.5456931144,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/depth_limited_dp/summary.json
guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,recursive_gadget_assembly,first_cut_obstruction,patternboost,4817490875110493475,86400,1000000,11041,budget_exhausted,0.18181818181818182,49770.62208159268,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/certificates/best_iter008065_86abecc14b8f.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/renderings/best_iter008065_86abecc14b8f.svg,86abecc14b8f9c033ebd4099a9a50f10a4ca6a6c572336ae395c1f5a047a26a1,13254,0,0,22027,80101,1267,20272,19992,0,False,7,16,recursive_gadget_assembly,7,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/checkpoint.json,1,False,86435.31195881218,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/first_cut_obstruction/summary.json
guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,recursive_gadget_assembly,k_subset_nonseparability,patternboost,1611027461561442790,86400,1000000,2159,budget_exhausted,0.16666666666666666,39682.05377200991,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/certificates/best_iter001065_d2576eee56a3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/renderings/best_iter001065_d2576eee56a3.svg,d2576eee56a342dba089b67f5a46eada00bef48f312cdd371d0e8504c2cdfb2e,2592,0,0,4384,17032,293,4688,4184,0,False,7,16,recursive_gadget_assembly,6,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/checkpoint.json,1,False,86410.8413188979,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/recursive_gadget_assembly/k_subset_nonseparability/summary.json
guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,witness_breaking,depth_limited_dp,patternboost,4475353812576049258,86400,1000000,7844,budget_exhausted,0.3333333333333333,20915.016112737358,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/certificates/best_iter002030_2ad1a505e6f3.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/renderings/best_iter002030_2ad1a505e6f3.svg,2ad1a505e6f3ae3a2c5a3ac2e9ee7ed56ecbe2ce23fce5b8edc352ba5815febd,9403,0,0,7548,78399,1117,17872,17788,0,False,7,16,witness_breaking,8,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/checkpoint.json,1,False,86407.85391315073,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/depth_limited_dp/summary.json
guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,witness_breaking,first_cut_obstruction,patternboost,4027357774922376665,86400,1000000,9315,budget_exhausted,0.2727272727272727,11005.490644983947,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/certificates/best_iter001775_cfd58d91ab3a.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/renderings/best_iter001775_cfd58d91ab3a.svg,cfd58d91ab3aa0d839537a8c1d2b3c388a62f80c6353acb3f3d850b4842b98de,11178,0,0,19819,80726,1227,19632,19567,0,False,7,16,witness_breaking,4,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/checkpoint.json,1,False,86416.99110349268,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/first_cut_obstruction/summary.json
guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/budget86400/git20750a588a5b,main,guillotine,rect_direct_disjoint,witness_breaking,k_subset_nonseparability,patternboost,4258996641414466860,86400,1000000,1208,budget_exhausted,0.25,9881.370820365846,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/certificates/best_iter000155_a675828db84c.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/renderings/best_iter000155_a675828db84c.svg,a675828db84c01c4e4b25df20b2baa1f9371b8bed8e0b9d61a5f6232c75887c5,1452,0,0,2421,8754,172,2752,2385,0,False,7,16,witness_breaking,8,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/checkpoint.json,1,False,86434.62910153717,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/rect_direct_disjoint/witness_breaking/k_subset_nonseparability/summary.json
guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/budget86400/git20750a588a5b,main,guillotine,recursive_obstruction_grammar,packing_resize,depth_limited_dp,patternboost,7585032290770543782,86400,1000000,3497,budget_exhausted,0.25,9.277258595451713,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/certificates/best_iter000000_7533307ab638.json,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/renderings/best_iter000000_7533307ab638.svg,7533307ab63878b3b86437eb2261ef4eed4e961b2530b98ff153f6d6d9dd201a,4200,0,0,7607,22535,484,7744,7608,0,False,7,16,packing_resize,1,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/events.jsonl,runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/checkpoint.json,1,False,86424.25653916411,0,/home/sg9396/patternboost/multi-level-20750a588a5b/runs/main_81_24h_20260709_1623/main_results/main/guillotine/recursive_obstruction_grammar/packing_resize/depth_limited_dp/summary.json
