problem,epoch_progress_percent,rows,spearman_rho,descriptive_p_value
misr,1,27,0.4927330419718562,0.009022798660505585
misr,5,27,0.6819057741205065,8.962101702114764e-05
misr,10,27,0.7739815023920091,2.179469372998546e-06
misr,25,27,0.9080569173626898,6.145152888150546e-11
misr,50,27,0.9714433044567878,3.903094753975485e-17
misr,75,27,0.9998419596987365,2.7908461063295773e-45
unit_square,1,27,0.8565738383090248,1.1938612440156666e-08
unit_square,5,27,0.8530325456993418,1.587180749316415e-08
unit_square,10,27,0.8959047967606344,2.710700454550261e-10
unit_square,25,27,0.8990702072863045,1.8754248425157994e-10
unit_square,50,27,0.9319065514814628,1.6424534802332176e-12
unit_square,75,27,0.964482088648696,5.745513538100324e-16
guillotine,1,23,0.5099925462140236,0.012914245918634302
guillotine,5,23,0.799436677065099,4.735096870794348e-06
guillotine,10,23,0.8046297992770667,3.6844579104945762e-06
guillotine,25,23,0.944072279347515,1.3802111241323257e-11
guillotine,50,23,0.9662921348314607,7.476617653190518e-14
guillotine,75,23,0.9595505617977528,4.922735739870954e-13
