problem,factor,level,count,mean,median,minimum,maximum,q1,q3
misr,representation,fixed_symmetry_rectangles,9,1.240740740740741,1.25,1.0,1.333333333333334,1.25,1.25
misr,representation,quadratic_program_rectangles,9,1.2999999999999998,1.3333333333333333,1.2,1.3333333333333333,1.3,1.3333333333333333
misr,representation,triangle_free_rect,9,1.3009259259259258,1.3333333333333333,1.125,1.5,1.2,1.375
misr,local_search,program_coeff_pivot,9,1.3175925925925926,1.3333333333333333,1.25,1.4,1.25,1.3333333333333333
misr,local_search,sequence_pair_pivot,9,1.2870370370370372,1.3333333333333333,1.0,1.5,1.25,1.3333333333333337
misr,local_search,symmetry_crossover_hillclimb,9,1.237037037037037,1.2,1.2,1.333333333333334,1.2,1.25
misr,surrogate,exact_lp_gap_pressure,9,1.3203703703703704,1.3333333333333333,1.2,1.5,1.25,1.333333333333334
misr,surrogate,graph_conflict_proxy,9,1.2249999999999999,1.25,1.0,1.3333333333333333,1.2,1.3333333333333333
misr,surrogate,triangle_free_exact_gap_pressure,9,1.296296296296296,1.3,1.2,1.375,1.25,1.3333333333333333
unit_square,representation,fixed_symmetry_grid,9,1.395958617050199,1.3636363636363638,1.276595744680851,1.5000000000000004,1.3043478260869563,1.5000000000000002
unit_square,representation,line_square_incidence,9,1.3984031378528303,1.4141414141414144,1.25,1.5000000000000004,1.3333333333333333,1.4643545279383436
unit_square,representation,sqstab_exact_grid,9,1.4264502801523322,1.4406779661016949,1.3157894736842104,1.538461538461539,1.3461538461538465,1.5000000000000004
unit_square,local_search,coord_mutation,9,1.3715225268246352,1.3333333333333333,1.25,1.5000000000000004,1.3043478260869563,1.5
unit_square,local_search,sqstab_local_hillclimb,9,1.3732378732378734,1.3461538461538465,1.2857142857142858,1.5000000000000004,1.3333333333333333,1.3636363636363638
unit_square,local_search,symmetry_crossover_hillclimb,9,1.476051634992853,1.5000000000000002,1.4141414141414144,1.538461538461539,1.4406779661016949,1.5000000000000004
unit_square,surrogate,exact_stab_gap_pressure,9,1.4851613811151385,1.5000000000000004,1.3636363636363638,1.538461538461539,1.5,1.5000000000000004
unit_square,surrogate,greedy_partial_lp_bitset,9,1.3750276829986976,1.3636363636363635,1.25,1.5000000000000004,1.3333333333333333,1.4141414141414144
unit_square,surrogate,incidence_statistics,9,1.3606229709415252,1.3333333333333333,1.276595744680851,1.5000000000000004,1.3157894736842104,1.4268292682926833
guillotine,representation,fixed_symmetry_packing,9,0.2222222222222222,0.25,0.1666666666666666,0.25,0.1666666666666666,0.25
guillotine,representation,rect_direct_disjoint,9,0.2348979996038819,0.25,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.2727272727272727
guillotine,representation,recursive_obstruction_grammar,9,0.22780705606792562,0.25,0.1666666666666666,0.2727272727272727,0.1666666666666666,0.2608695652173913
guillotine,local_search,packing_resize,9,0.2508912655971479,0.25,0.2352941176470588,0.2727272727272727,0.25,0.25
guillotine,local_search,symmetry_crossover_hillclimb,9,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666
guillotine,local_search,witness_breaking,9,0.2673693456302152,0.2608695652173913,0.25,0.3333333333333333,0.25,0.2727272727272727
guillotine,surrogate,depth_limited_dp,9,0.23585858585858585,0.25,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.2666666666666666
guillotine,surrogate,first_cut_obstruction,9,0.22727272727272727,0.25,0.1666666666666666,0.2727272727272727,0.1666666666666666,0.25
guillotine,surrogate,k_subset_nonseparability,9,0.22179596476271668,0.25,0.1666666666666666,0.2608695652173913,0.1666666666666666,0.25
